1,F,156
2,F,155
3,M,185
4,F,150
5,F,168
6,M,181
7,F,170
8,M,190
9,F,151
10,F,169
11,F,157
12,F,155
13,M,179
14,M,180
15,M,174
16,F,142
17,F,167
18,M,182
19,M,188
20,M,145
21,F,171
22,F,158
23,M,181
24,F,156
25,M,173
26,F,140
27,M,175
28,F,140
29,F,153
30,F,161
31,M,181
32,F,165
33,M,191
34,M,186
35,F,171
36,M,172
37,F,148
38,F,155
39,M,168
40,F,148
41,M,169
42,F,162
43,M,195
44,F,159
45,F,144
46,M,179
47,F,158
48,F,156
49,F,148
50,F,159
51,M,192
52,M,180
53,F,169
54,F,172
55,M,172
56,F,149
57,F,174
58,M,164
59,F,141
60,M,197
61,M,173
62,M,182
63,M,207
64,M,173
65,M,183
66,F,148
67,F,147
68,M,183
69,M,186
70,M,186
71,M,175
72,M,164
73,F,170
74,F,182
75,F,148
76,F,167
77,F,170
78,F,153
79,F,166
80,M,196
81,M,195
82,M,178
83,M,183
84,F,157
85,F,163
86,M,186
87,M,184
88,M,177
89,M,185
90,M,168
91,F,165
92,F,143
93,M,173
94,F,144
95,M,184
96,M,178
97,M,164
98,M,203
99,M,168
100,F,156
101,M,186
102,M,191
103,F,158
104,M,185
105,F,163
106,M,187
107,M,178
108,M,187
109,M,178
110,M,170
111,M,174
112,F,175
113,F,154
114,M,176
115,M,183
116,F,156
117,M,199
118,F,159
119,M,181
120,F,162
121,M,172
122,M,183
123,F,156
124,F,152
125,M,187
126,M,171
127,F,147
128,M,163
129,F,177
130,F,164
131,M,174
132,F,163
133,M,167
134,M,188
135,F,158
136,F,162
137,M,169
138,M,185
139,M,177
140,M,181
141,F,162
142,M,176
143,M,186
144,F,163
145,F,177
146,F,176
147,M,191
148,M,183
149,M,181
150,M,187
151,M,172
152,F,157
153,F,173
154,F,166
155,F,153
156,F,146
157,F,170
158,F,165
159,M,173
160,F,146
161,M,176
162,F,169
163,F,146
164,M,180
165,F,154
166,M,162
167,F,167
168,F,161
169,F,160
170,M,178
171,M,183
172,F,166
173,F,150
174,M,171
175,F,165
176,F,154
177,F,144
178,F,170
179,F,167
180,M,178
181,M,180
182,M,160
183,F,153
184,M,181
185,M,188
186,M,185
187,F,157
188,M,188
189,M,177
190,F,157
191,M,180
192,M,174
193,F,155
194,F,176
195,M,178
196,F,164
197,F,164
198,F,149
199,F,159
200,F,158
201,M,150
202,F,163
203,M,166
